,note_name,start_time,duration,velocity,tempo
0,C5,0,49,64,180
1,A4,0,49,64,180
2,E4,0,49,64,180
3,F3,0,49,64,180
4,C5,100,49,64,180
5,A4,100,49,64,180
6,E4,100,49,64,180
7,F3,100,49,64,180
8,C5,200,49,64,180
9,A4,200,49,64,180
10,E4,200,49,64,180
11,F3,200,49,64,180
12,C5,300,24,64,180
13,A4,300,24,64,180
14,E4,300,24,64,180
15,F3,300,24,64,180
16,C5,350,24,64,180
17,A4,350,24,64,180
18,E4,350,24,64,180
19,F3,350,24,64,180
20,B4,400,49,64,180
21,G4,400,49,64,180
22,D4,400,49,64,180
23,F3,400,49,64,180
24,B4,500,49,64,180
25,G4,500,49,64,180
26,D4,500,49,64,180
27,F3,500,49,64,180
28,B4,600,49,64,180
29,G4,600,49,64,180
30,D4,600,49,64,180
31,F3,600,49,64,180
32,C5,700,49,64,180
33,G4,700,49,64,180
34,D4,700,49,64,180
35,F3,700,49,64,180
36,D5,800,49,64,180
37,G4,800,49,64,180
38,E4,800,49,64,180
39,E3,800,49,64,180
40,D5,900,49,64,180
41,G4,900,49,64,180
42,E4,900,49,64,180
43,E3,900,49,64,180
44,D5,1000,49,64,180
45,G4,1000,49,64,180
46,E4,1000,49,64,180
47,E3,1000,49,64,180
48,D5,1100,24,64,180
49,G4,1100,24,64,180
50,E4,1100,24,64,180
51,E3,1100,24,64,180
52,B4,1150,24,64,180
53,G4,1150,24,64,180
54,E4,1150,24,64,180
55,E3,1150,24,64,180
56,C5,1200,49,64,180
57,G4,1200,49,64,180
58,E4,1200,49,64,180
59,A3,1200,49,64,180
60,C5,1300,49,64,180
61,G4,1300,49,64,180
62,E4,1300,49,64,180
63,A3,1300,49,64,180
64,C5,1400,49,64,180
65,G4,1400,49,64,180
66,E4,1400,49,64,180
67,A3,1400,49,64,180
68,C5,1500,49,64,180
69,G4,1500,49,64,180
70,E4,1500,49,64,180
71,A3,1500,49,64,180
72,C5,1600,49,64,180
73,A4,1600,49,64,180
74,E4,1600,49,64,180
75,F3,1600,49,64,180
76,C5,1700,49,64,180
77,A4,1700,49,64,180
78,E4,1700,49,64,180
79,F3,1700,49,64,180
80,C5,1800,49,64,180
81,A4,1800,49,64,180
82,E4,1800,49,64,180
83,F3,1800,49,64,180
84,C5,1900,24,64,180
85,A4,1900,24,64,180
86,E4,1900,24,64,180
87,F3,1900,24,64,180
88,C5,1950,24,64,180
89,A4,1950,24,64,180
90,E4,1950,24,64,180
91,F3,1950,24,64,180
92,B4,2000,49,64,180
93,G4,2000,49,64,180
94,D4,2000,49,64,180
95,F3,2000,49,64,180
96,B4,2100,49,64,180
97,G4,2100,49,64,180
98,D4,2100,49,64,180
99,F3,2100,49,64,180
100,B4,2200,49,64,180
101,G4,2200,49,64,180
102,D4,2200,49,64,180
103,F3,2200,49,64,180
104,C5,2300,49,64,180
105,G4,2300,49,64,180
106,D4,2300,49,64,180
107,F3,2300,49,64,180
108,D5,2400,49,64,180
109,G4,2400,49,64,180
110,E4,2400,49,64,180
111,E3,2400,49,64,180
112,D5,2500,49,64,180
113,G4,2500,49,64,180
114,E4,2500,49,64,180
115,E3,2500,49,64,180
116,D5,2600,49,64,180
117,G4,2600,49,64,180
118,E4,2600,49,64,180
119,E3,2600,49,64,180
120,D5,2700,24,64,180
121,G4,2700,24,64,180
122,E4,2700,24,64,180
123,E3,2700,24,64,180
124,B4,2750,24,64,180
125,G4,2750,24,64,180
126,E4,2750,24,64,180
127,E3,2750,24,64,180
128,C5,2800,49,64,180
129,G4,2800,49,64,180
130,E4,2800,49,64,180
131,A3,2800,49,64,180
132,C5,2900,49,64,180
133,G4,2900,49,64,180
134,E4,2900,49,64,180
135,A3,2900,49,64,180
136,C5,3000,49,64,180
137,G4,3000,49,64,180
138,E4,3000,49,64,180
139,A3,3000,49,64,180
140,C5,3100,49,64,180
141,G4,3100,49,64,180
142,E4,3100,49,64,180
143,A3,3100,49,64,180
144,E5,3150,47,112,180
145,C5,3200,49,64,180
146,A4,3200,49,64,180
147,E4,3200,49,64,180
148,F3,3200,49,64,180
149,F5,3200,332,112,180
150,C5,3300,49,64,180
151,A4,3300,49,64,180
152,E4,3300,49,64,180
153,F3,3300,49,64,180
154,C5,3400,49,64,180
155,A4,3400,49,64,180
156,E4,3400,49,64,180
157,F3,3400,49,64,180
158,C5,3500,24,64,180
159,A4,3500,24,64,180
160,E4,3500,24,64,180
161,F3,3500,24,64,180
162,C5,3550,24,64,180
163,A4,3550,24,64,180
164,E4,3550,24,64,180
165,F3,3550,24,64,180
166,A5,3550,47,112,180
167,B4,3600,49,64,180
168,G4,3600,49,64,180
169,D4,3600,49,64,180
170,F3,3600,49,64,180
171,B5,3600,332,112,180
172,B4,3700,49,64,180
173,G4,3700,49,64,180
174,D4,3700,49,64,180
