,note_name,start_time,duration,velocity,tempo
0,D3,0,16,80,72
1,F#5,0,237,96,72
2,D5,0,379,64,72
3,F#4,0,379,64,72
4,D3,0,379,64,72
5,F#3,33,16,80,72
6,F#3,66,16,80,72
7,A3,100,16,80,72
8,A3,133,16,80,72
9,D4,166,16,80,72
10,D4,200,16,80,72
11,A3,233,16,80,72
12,F#5,250,23,96,72
13,A3,266,16,80,72
14,G5,275,23,96,72
15,F#3,300,16,80,72
16,A5,300,47,96,72
17,F#3,333,16,80,72
18,B5,350,47,96,72
19,D3,366,16,80,72
20,F#3,400,16,80,72
21,C#6,400,237,96,72
22,A4,400,379,64,72
23,C#4,400,379,64,72
24,F#3,400,379,64,72
25,A3,433,16,80,72
26,A3,466,16,80,72
27,C#4,500,16,80,72
28,C#4,533,16,80,72
29,F#4,566,16,80,72
30,F#4,600,16,80,72
31,C#4,633,16,80,72
32,C#5,650,23,96,72
33,C#4,666,16,80,72
34,D5,675,23,96,72
35,A3,700,16,80,72
36,E5,700,47,96,72
37,A3,733,16,80,72
38,F#5,750,47,96,72
39,F#3,766,16,80,72
40,G3,800,16,80,72
41,D5,800,94,96,72
42,G4,800,379,64,72
43,B3,800,379,64,72
44,G3,800,379,64,72
45,B3,833,16,80,72
46,B3,866,16,80,72
47,D4,900,16,80,72
48,D6,900,189,96,72
49,D4,933,16,80,72
50,G4,966,16,80,72
51,G4,1000,16,80,72
52,D4,1033,16,80,72
53,D4,1066,16,80,72
54,B3,1100,16,80,72
55,G5,1100,47,96,72
56,B3,1133,16,80,72
57,A5,1150,47,96,72
58,G3,1166,16,80,72
59,E3,1200,16,80,72
60,B-5,1200,237,96,72
61,G4,1200,379,64,72
62,D4,1200,379,64,72
63,E3,1200,379,64,72
64,G3,1233,16,80,72
65,G3,1266,16,80,72
66,D4,1300,16,80,72
67,D4,1333,16,80,72
68,E4,1366,16,80,72
69,E4,1400,16,80,72
70,D4,1433,16,80,72
71,E5,1450,23,96,72
72,D4,1466,16,80,72
73,F#5,1475,23,96,72
74,G3,1500,16,80,72
75,G5,1500,47,96,72
76,G3,1533,16,80,72
77,B-5,1550,47,96,72
78,E3,1566,16,80,72
79,E3,1600,16,80,72
80,C6,1600,284,96,72
81,B-4,1600,379,64,72
82,C4,1600,379,64,72
83,E3,1600,379,64,72
84,B-3,1633,16,80,72
85,B-3,1666,16,80,72
86,C4,1700,16,80,72
87,C4,1733,16,80,72
88,E4,1766,16,80,72
89,E4,1800,16,80,72
90,C4,1833,16,80,72
91,C4,1866,16,80,72
92,B-3,1900,16,80,72
93,B-5,1900,94,96,72
94,B-3,1933,16,80,72
95,E3,1966,16,80,72
96,F3,2000,16,80,72
97,A5,2000,94,96,72
98,A4,2000,379,64,72
99,D4,2000,379,64,72
100,F3,2000,379,64,72
101,A3,2033,16,80,72
102,A3,2066,16,80,72
103,D4,2100,16,80,72
104,G5,2100,94,96,72
105,D4,2133,16,80,72
106,F4,2166,16,80,72
107,F4,2200,16,80,72
108,F5,2200,94,96,72
109,D4,2233,16,80,72
110,D4,2266,16,80,72
111,A3,2300,16,80,72
112,A5,2300,94,96,72
113,A3,2333,16,80,72
114,F3,2366,16,80,72
115,G3,2400,16,80,72
116,G5,2400,94,96,72
117,B4,2400,379,64,72
118,D4,2400,379,64,72
119,G3,2400,379,64,72
120,B3,2433,16,80,72
121,B3,2466,16,80,72
122,D4,2500,16,80,72
123,E5,2500,94,96,72
124,D4,2533,16,80,72
125,G4,2566,16,80,72
126,G4,2600,16,80,72
127,F5,2600,142,96,72
128,D4,2633,16,80,72
129,D4,2666,16,80,72
130,B3,2700,16,80,72
131,B3,2733,16,80,72
132,G5,2750,47,96,72
133,G3,2766,16,80,72
134,A3,2800,16,80,72
135,E5,2800,284,96,72
136,C#5,2800,379,64,72
137,G4,2800,379,64,72
138,A3,2800,379,64,72
139,C#4,2833,16,80,72
140,C#4,2866,16,80,72
141,G4,2900,16,80,72
142,G4,2933,16,80,72
143,A4,2966,16,80,72
144,A4,3000,16,80,72
145,G4,3033,16,80,72
146,G4,3066,16,80,72
147,C#4,3100,16,80,72
148,F5,3100,94,96,72
149,C#4,3133,16,80,72
150,A3,3166,16,80,72
151,D3,3200,16,80,72
152,F#5,3200,237,96,72
153,D5,3200,379,64,72
154,F#4,3200,379,64,72
155,D3,3200,379,64,72
156,F#3,3233,16,80,72
157,F#3,3266,16,80,72
158,A3,3300,16,80,72
159,A3,3333,16,80,72
160,D4,3366,16,80,72
161,D4,3400,16,80,72
162,A3,3433,16,80,72
163,F#5,3450,23,96,72
164,A3,3466,16,80,72
165,G5,3475,23,96,72
166,F#3,3500,16,80,72
167,A5,3500,47,96,72
168,F#3,3533,16,80,72
169,B5,3550,47,96,72
170,D3,3566,16,80,72
171,F#3,3600,16,80,72
172,C#6,3600,237,96,72
173,A4,3600,379,64,72
174,C#4,3600,379,64,72
175,F#3,3600,379,64,72
176,A3,3633,16,80,72
177,A3,3666,16,80,72
178,C#4,3700,16,80,72
179,C#4,3733,16,80,72
180,F#4,3766,16,80,72
181,F#4,3800,16,80,72
182,C#4,3833,16,80,72
183,C#5,3850,23,96,72
184,C#4,3866,16,80,72
185,D5,3875,23,96,72
186,A3,3900,16,80,72
187,E5,3900,47,96,72
188,A3,3933,16,80,72
189,F#5,3950,47,96,72
190,F#3,3966,16,80,72
191,G3,4000,16,80,72
192,D5,4000,94,96,72
193,G4,4000,379,64,72
194,B3,4000,379,64,72
195,G3,4000,379,64,72
196,B3,4033,16,80,72
197,B3,4066,16,80,72
198,D4,4100,16,80,72
199,D6,4100,189,96,72
200,D4,4133,16,80,72
201,G4,4166,16,80,72
202,G4,4200,16,80,72
203,D4,4233,16,80,72
204,D4,4266,16,80,72
205,B3,4300,16,80,72
206,G5,4300,47,96,72
207,B3,4333,16,80,72
208,A5,4350,47,96,72
209,G3,4366,16,80,72
210,E3,4400,16,80,72
211,B-5,4400,237,96,72
212,G4,4400,379,64,72
213,D4,4400,379,64,72
214,E3,4400,379,64,72
215,G3,4433,16,80,72
216,G3,4466,16,80,72
217,D4,4500,16,80,72
218,D4,4533,16,80,72
219,E4,4566,16,80,72
220,E4,4600,16,80,72
221,D4,4633,16,80,72
222,E5,4650,23,96,72
223,D4,4666,16,80,72
224,F#5,4675,23,96,72
225,G3,4700,16,80,72
226,G5,4700,47,96,72
227,G3,4733,16,80,72
228,B-5,4750,47,96,72
229,E3,4766,16,80,72
230,E3,4800,16,80,72
231,C6,4800,284,96,72
232,B-4,4800,379,64,72
233,C4,4800,379,64,72
234,E3,4800,379,64,72
235,B-3,4833,16,80,72
236,B-3,4866,16,80,72
237,C4,4900,16,80,72
238,C4,4933,16,80,72
239,E4,4966,16,80,72
240,E4,5000,16,80,72
241,C4,5033,16,80,72
242,C4,5066,16,80,72
243,B-3,5100,16,80,72
244,B-5,5100,94,96,72
245,B-3,5133,16,80,72
246,E3,5166,16,80,72
247,F3,5200,16,80,72
248,A5,5200,94,96,72
249,A4,5200,379,64,72
250,D4,5200,379,64,72
251,F3,5200,379,64,72
252,A3,5233,16,80,72
253,A3,5266,16,80,72
254,D4,5300,16,80,72
255,G5,5300,94,96,72
256,D4,5333,16,80,72
257,F4,5366,16,80,72
258,F4,5400,16,80,72
259,F5,5400,94,96,72
260,D4,5433,16,80,72
261,D4,5466,16,80,72
262,A3,5500,16,80,72
263,A5,5500,94,96,72
264,A3,5533,16,80,72
265,F3,5566,16,80,72
266,G3,5600,16,80,72
267,G5,5600,47,96,72
268,B4,5600,379,64,72
269,D4,5600,379,64,72
270,G3,5600,379,64,72
271,B3,5633,16,80,72
272,F5,5650,47,96,72
273,B3,5666,16,80,72
274,D4,5700,16,80,72
275,E5,5700,94,96,72
276,D4,5733,16,80,72
277,G4,5766,16,80,72
278,G4,5800,16,80,72
279,F5,5800,142,96,72
280,D4,5833,16,80,72
281,D4,5866,16,80,72
282,B3,5900,16,80,72
283,B3,5933,16,80,72
284,G5,5950,47,96,72
285,G3,5966,16,80,72
286,A3,6000,16,80,72
287,E5,6000,284,96,72
288,C#5,6000,379,64,72
289,G4,6000,379,64,72
290,A3,6000,379,64,72
291,C#4,6033,16,80,72
292,C#4,6066,16,80,72
293,G4,6100,16,80,72
294,G4,6133,16,80,72
295,A4,6166,16,80,72
296,A4,6200,16,80,72
297,G4,6233,16,80,72
298,G4,6266,16,80,72
299,C#4,6300,16,80,72
300,F5,6300,23,96,72
301,E5,6325,23,96,72
302,C#4,6333,16,80,72
303,D5,6350,23,96,72
304,A3,6366,16,80,72
305,E5,6375,23,96,72
306,F3,6400,16,80,72
307,F5,6400,237,96,72
308,D5,6400,379,64,72
309,A4,6400,379,64,72
310,F3,6400,379,64,72
311,A3,6433,16,80,72
312,A3,6466,16,80,72
313,D4,6500,16,80,72
314,D4,6533,16,80,72
315,F4,6566,16,80,72
316,F4,6600,16,80,72
317,D4,6633,16,80,72
318,F5,6650,23,96,72
319,D4,6666,16,80,72
320,G5,6675,23,96,72
321,A3,6700,16,80,72
322,A5,6700,47,96,72
323,A3,6733,16,80,72
324,C6,6750,47,96,72
325,F3,6766,16,80,72
326,F#3,6800,16,80,72
327,D6,6800,94,96,72
328,C5,6800,379,64,72
329,A4,6800,379,64,72
330,F#3,6800,379,64,72
331,A3,6833,16,80,72
332,A3,6866,16,80,72
333,C4,6900,16,80,72
334,A5,6900,189,96,72
335,C4,6933,16,80,72
336,F#4,6966,16,80,72
337,F#4,7000,16,80,72
338,C4,7033,16,80,72
339,C4,7066,16,80,72
340,A3,7100,16,80,72
341,G#5,7100,94,96,72
342,A3,7133,16,80,72
343,F#3,7166,16,80,72
344,G3,7200,16,80,72
345,G5,7200,237,96,72
346,B-4,7200,379,64,72
347,G4,7200,379,64,72
348,G3,7200,379,64,72
349,B-3,7233,16,80,72
350,B-3,7266,16,80,72
351,D4,7300,16,80,72
352,D4,7333,16,80,72
353,G4,7366,16,80,72
354,G4,7400,16,80,72
355,D4,7433,16,80,72
356,G5,7450,23,96,72
357,D4,7466,16,80,72
358,A5,7475,23,96,72
359,B-3,7500,16,80,72
360,B-5,7500,47,96,72
361,B-3,7533,16,80,72
362,C6,7550,47,96,72
363,G3,7566,16,80,72
364,F3,7600,16,80,72
365,D6,7600,284,96,72
366,B4,7600,379,64,72
367,G4,7600,379,64,72
368,F3,7600,379,64,72
369,G3,7633,16,80,72
370,G3,7666,16,80,72
371,B3,7700,16,80,72
372,B3,7733,16,80,72
373,F4,7766,16,80,72
374,F4,7800,16,80,72
375,B3,7833,16,80,72
376,B3,7866,16,80,72
377,G3,7900,16,80,72
378,D5,7900,94,96,72
379,G3,7933,16,80,72
380,F3,7966,16,80,72
381,E-3,8000,16,80,72
382,E-5,8000,237,96,72
383,C5,8000,379,64,72
384,G4,8000,379,64,72
385,E-3,8000,379,64,72
386,G3,8033,16,80,72
387,G3,8066,16,80,72
388,C4,8100,16,80,72
389,C4,8133,16,80,72
390,E-4,8166,16,80,72
391,E-4,8200,16,80,72
392,C4,8233,16,80,72
393,E-5,8250,23,96,72
394,C4,8266,16,80,72
395,F5,8275,23,96,72
396,G3,8300,16,80,72
397,G5,8300,47,96,72
398,G3,8333,16,80,72
399,B-5,8350,47,96,72
400,E-3,8366,16,80,72
401,E3,8400,16,80,72
402,C6,8400,94,96,72
403,B-4,8400,379,64,72
404,G4,8400,379,64,72
405,E3,8400,379,64,72
406,G3,8433,16,80,72
407,G3,8466,16,80,72
408,B-3,8500,16,80,72
409,G5,8500,189,96,72
410,B-3,8533,16,80,72
411,E4,8566,16,80,72
412,E4,8600,16,80,72
413,B-3,8633,16,80,72
414,B-3,8666,16,80,72
415,G3,8700,16,80,72
416,F#5,8700,94,96,72
417,G3,8733,16,80,72
418,E3,8766,16,80,72
419,F3,8800,16,80,72
420,F5,8800,237,96,72
421,G#4,8800,379,64,72
422,F4,8800,379,64,72
423,F3,8800,379,64,72
424,G#3,8833,16,80,72
425,G#3,8866,16,80,72
426,C4,8900,16,80,72
427,C4,8933,16,80,72
428,F4,8966,16,80,72
429,F4,9000,16,80,72
430,C4,9033,16,80,72
431,F5,9050,23,96,72
432,C4,9066,16,80,72
433,G5,9075,23,96,72
434,G#3,9100,16,80,72
435,G#5,9100,47,96,72
436,G#3,9133,16,80,72
437,B-5,9150,47,96,72
438,F3,9166,16,80,72
439,E-3,9200,16,80,72
440,C6,9200,284,96,72
441,A4,9200,379,64,72
442,F4,9200,379,64,72
443,E-3,9200,379,64,72
444,F3,9233,16,80,72
445,F3,9266,16,80,72
446,A3,9300,16,80,72
447,A3,9333,16,80,72
448,E-4,9366,16,80,72
449,E-4,9400,16,80,72
450,A3,9433,16,80,72
451,A3,9466,16,80,72
452,F3,9500,16,80,72
453,F5,9500,94,96,72
454,F3,9533,16,80,72
