,note_name,start_time,duration,velocity,tempo
0,C#3,0,399,80,108
1,A3,0,399,80,108
2,A2,0,399,80,108
3,A4,100,24,96,108
4,B4,150,24,96,108
5,C#5,200,49,96,108
6,E5,300,49,96,108
7,B4,400,99,96,108
8,E3,400,399,80,108
9,B3,400,399,80,108
10,G#2,400,399,80,108
11,E5,600,99,96,108
12,F#3,800,399,80,108
13,A3,800,399,80,108
14,F#2,800,399,80,108
15,A4,900,24,96,108
16,B4,950,24,96,108
17,C#5,1000,49,96,108
18,F#5,1100,49,96,108
19,F#5,1200,49,96,108
20,E3,1200,399,80,108
21,B-3,1200,399,80,108
22,F#2,1200,399,80,108
23,E5,1300,49,96,108
24,C#5,1400,99,96,108
25,D3,1600,399,80,108
26,B3,1600,399,80,108
27,B2,1600,399,80,108
28,B4,1700,24,96,108
29,C#5,1750,24,96,108
30,D5,1800,49,96,108
31,F#5,1900,49,96,108
32,F#5,2000,49,96,108
33,E-3,2000,399,80,108
34,A3,2000,399,80,108
35,B2,2000,399,80,108
36,E-5,2100,49,96,108
37,B4,2200,49,96,108
38,F#5,2300,49,96,108
39,E3,2400,399,80,108
40,G3,2400,399,80,108
41,E2,2400,399,80,108
42,E5,2500,24,96,108
43,D5,2550,24,96,108
44,C#5,2600,49,96,108
45,B4,2700,49,96,108
46,D5,2800,99,96,108
47,D3,2800,379,80,108
48,G#3,2800,379,80,108
49,E2,2800,379,80,108
50,B4,3000,99,96,108
51,C#3,3200,399,80,108
52,A3,3200,399,80,108
53,A2,3200,399,80,108
54,A3,3300,24,96,108
55,C#5,3300,24,96,108
56,B3,3350,24,96,108
57,D5,3350,24,96,108
58,C#4,3400,49,96,108
59,E5,3400,49,96,108
60,E4,3500,49,96,108
61,A5,3500,49,96,108
62,B3,3600,99,96,108
63,B5,3600,99,96,108
64,E3,3600,399,80,108
65,B3,3600,399,80,108
66,G#2,3600,399,80,108
67,E4,3800,99,96,108
68,G#5,3800,99,96,108
69,F#3,4000,399,80,108
70,A3,4000,399,80,108
71,F#2,4000,399,80,108
72,A3,4100,24,96,108
73,F#5,4100,24,96,108
74,B3,4150,24,96,108
75,G#5,4150,24,96,108
76,C#4,4200,49,96,108
77,A5,4200,49,96,108
78,F#4,4300,49,96,108
79,C#6,4300,49,96,108
80,F#4,4400,49,96,108
81,B-5,4400,49,96,108
82,E3,4400,399,80,108
83,B-3,4400,399,80,108
84,F#2,4400,399,80,108
85,E4,4500,49,96,108
86,B5,4500,49,96,108
87,C#4,4600,99,96,108
88,C#6,4600,99,96,108
89,D3,4800,399,80,108
90,B3,4800,399,80,108
91,B2,4800,399,80,108
92,B3,4900,24,96,108
93,D5,4900,24,96,108
94,C#4,4950,24,96,108
95,E5,4950,24,96,108
96,D4,5000,49,96,108
97,F#5,5000,49,96,108
98,F#4,5100,49,96,108
99,B5,5100,49,96,108
100,F#4,5200,49,96,108
101,A5,5200,49,96,108
102,E-3,5200,399,80,108
103,A3,5200,399,80,108
104,B2,5200,399,80,108
105,E-4,5300,49,96,108
106,F#5,5300,49,96,108
107,B3,5400,49,96,108
108,E-5,5400,49,96,108
109,F#4,5500,49,96,108
110,A5,5500,49,96,108
111,E3,5600,399,80,108
112,G3,5600,399,80,108
113,E2,5600,399,80,108
114,E4,5700,24,96,108
115,G5,5700,24,96,108
116,D4,5750,24,96,108
117,F#5,5750,24,96,108
118,C#4,5800,49,96,108
119,E5,5800,49,96,108
120,B3,5900,49,96,108
121,G5,5900,24,96,108
122,A5,5950,24,96,108
123,D4,6000,99,96,108
124,B5,6000,99,96,108
125,D3,6000,379,80,108
126,G#3,6000,379,80,108
127,E2,6000,379,80,108
128,B3,6200,99,96,108
129,G#5,6200,99,96,108
130,C#6,6400,49,96,108
131,C#3,6400,399,80,108
132,A3,6400,399,80,108
133,A2,6400,399,80,108
134,C#4,6500,24,96,108
135,C#6,6500,24,96,108
136,D4,6550,24,96,108
137,B5,6550,24,96,108
138,E4,6600,49,96,108
139,A5,6600,49,96,108
140,A4,6700,49,96,108
141,E5,6700,49,96,108
142,B4,6800,99,96,108
143,G#5,6800,99,96,108
144,E3,6800,399,80,108
145,B3,6800,399,80,108
146,G#2,6800,399,80,108
147,G#4,7000,99,96,108
148,E5,7000,49,96,108
149,B4,7100,49,96,108
150,A4,7200,49,96,108
151,F#3,7200,399,80,108
152,A3,7200,399,80,108
153,F#2,7200,399,80,108
154,F#4,7300,24,96,108
155,A4,7300,24,96,108
156,G#4,7350,24,96,108
157,B4,7350,24,96,108
158,A4,7400,49,96,108
159,C#5,7400,49,96,108
160,C#5,7500,49,96,108
161,F#5,7500,49,96,108
162,B-4,7600,49,96,108
163,F#5,7600,49,96,108
164,E3,7600,399,80,108
165,B-3,7600,399,80,108
166,F#2,7600,399,80,108
167,B4,7700,49,96,108
168,G#5,7700,49,96,108
169,C#5,7800,99,96,108
170,B-5,7800,49,96,108
171,F#5,7900,49,96,108
172,F#5,8000,49,96,108
173,D3,8000,399,80,108
174,B3,8000,399,80,108
175,B2,8000,399,80,108
176,D4,8100,24,96,108
177,F#5,8100,24,96,108
178,E4,8150,24,96,108
179,G5,8150,24,96,108
180,F#4,8200,49,96,108
181,A5,8200,49,96,108
182,B4,8300,49,96,108
183,B5,8300,49,96,108
184,A4,8400,49,96,108
185,B5,8400,49,96,108
186,E-3,8400,399,80,108
187,A3,8400,399,80,108
188,B2,8400,399,80,108
189,F#4,8500,49,96,108
190,C#6,8500,49,96,108
191,E-4,8600,49,96,108
192,E-6,8600,49,96,108
193,A4,8700,49,96,108
194,B5,8700,49,96,108
195,G5,8800,49,96,108
196,E3,8800,399,80,108
197,G3,8800,399,80,108
198,E2,8800,399,80,108
199,G4,8900,24,96,108
200,B5,8900,24,96,108
201,F#4,8950,24,96,108
202,A5,8950,24,96,108
203,E4,9000,49,96,108
204,G5,9000,49,96,108
205,G4,9100,24,96,108
206,F#5,9100,49,96,108
207,A4,9150,24,96,108
208,B4,9200,99,96,108
209,E5,9200,49,96,108
210,D3,9200,379,80,108
211,G#3,9200,379,80,108
212,E2,9200,379,80,108
213,F#5,9300,49,96,108
214,G#4,9400,99,96,108
215,G#5,9400,49,96,108
216,B5,9500,49,96,108
217,C#5,9600,49,96,108
218,A5,9600,149,96,108
219,C#3,9600,399,80,108
220,A3,9600,399,80,108
221,A2,9600,399,80,108
222,C#5,9700,24,96,108
223,B4,9750,24,96,108
224,A4,9800,49,96,108
225,E4,9900,49,96,108
226,C#5,9900,49,96,108
227,G#4,10000,99,96,108
228,E5,10000,149,96,108
229,E3,10000,399,80,108
230,B3,10000,399,80,108
231,G#2,10000,399,80,108
232,E4,10200,49,96,108
233,B3,10300,49,96,108
234,G#5,10300,49,96,108
235,A3,10400,49,96,108
236,A5,10400,149,96,108
237,F#3,10400,399,80,108
238,A3,10400,399,80,108
239,F#2,10400,399,80,108
240,A3,10500,24,96,108
241,B3,10550,24,96,108
242,C#4,10600,49,96,108
243,F#4,10700,49,96,108
244,C#6,10700,49,96,108
245,F#4,10800,49,96,108
246,B-5,10800,199,96,108
247,E3,10800,399,80,108
248,B-3,10800,399,80,108
249,F#2,10800,399,80,108
250,G#4,10900,49,96,108
251,B-4,11000,49,96,108
252,F#4,11100,49,96,108
253,F#4,11200,49,96,108
254,B5,11200,149,96,108
255,D3,11200,399,80,108
256,B3,11200,399,80,108
257,B2,11200,399,80,108
258,F#4,11300,24,96,108
259,G4,11350,24,96,108
260,A4,11400,49,96,108
261,B4,11500,49,96,108
262,D5,11500,49,96,108
263,B4,11600,49,96,108
264,A5,11600,149,96,108
265,E-3,11600,399,80,108
266,A3,11600,399,80,108
267,B2,11600,399,80,108
268,C#5,11700,49,96,108
269,E-5,11800,49,96,108
270,B4,11900,49,96,108
271,F#5,11900,49,96,108
272,G4,12000,49,96,108
273,E5,12000,99,96,108
274,E3,12000,399,80,108
275,G3,12000,399,80,108
276,E2,12000,399,80,108
277,B4,12100,24,96,108
278,A4,12150,24,96,108
279,G4,12200,49,96,108
280,G5,12200,49,96,108
281,F#4,12300,49,96,108
282,A5,12300,49,96,108
283,E4,12400,99,96,108
284,G#5,12400,99,96,108
285,D3,12400,379,80,108
286,G#3,12400,379,80,108
287,E2,12400,379,80,108
288,G#4,12600,99,96,108
289,B5,12600,99,96,108
290,A4,12800,149,96,108
291,C#6,12800,99,96,108
292,C#3,12800,399,80,108
293,A3,12800,399,80,108
294,A2,12800,399,80,108
295,B5,13000,49,96,108
296,C#4,13100,49,96,108
297,A5,13100,49,96,108
298,E4,13200,149,96,108
299,G#5,13200,99,96,108
300,E3,13200,399,80,108
301,B3,13200,399,80,108
302,G#2,13200,399,80,108
303,F#5,13400,49,96,108
304,G#4,13500,49,96,108
305,E5,13500,49,96,108
306,A4,13600,149,96,108
307,C#5,13600,99,96,108
308,F#3,13600,399,80,108
309,A3,13600,399,80,108
310,F#2,13600,399,80,108
311,F#5,13800,49,96,108
312,C#5,13900,49,96,108
313,A5,13900,24,96,108
314,G#5,13950,24,96,108
315,B-4,14000,199,96,108
316,F#5,14000,49,96,108
317,E3,14000,399,80,108
318,B-3,14000,399,80,108
319,F#2,14000,399,80,108
320,E5,14100,49,96,108
321,D5,14200,49,96,108
322,C#5,14300,49,96,108
323,B4,14400,149,96,108
324,D5,14400,99,96,108
325,D3,14400,399,80,108
326,B3,14400,399,80,108
327,B2,14400,399,80,108
328,C#5,14600,49,96,108
329,D4,14700,49,96,108
330,B4,14700,49,96,108
331,A4,14800,149,96,108
332,F#5,14800,99,96,108
333,E-3,14800,399,80,108
334,A3,14800,399,80,108
335,B2,14800,399,80,108
336,G5,15000,49,96,108
337,F#4,15100,49,96,108
338,A5,15100,49,96,108
339,E4,15200,99,96,108
340,G5,15200,99,96,108
341,E3,15200,399,80,108
342,G3,15200,399,80,108
343,E2,15200,399,80,108
344,G4,15400,49,96,108
345,E5,15400,49,96,108
346,A4,15500,49,96,108
347,D5,15500,24,96,108
348,C#5,15550,24,96,108
349,G#4,15600,199,96,108
350,B4,15600,49,96,108
351,D3,15600,379,80,108
352,G#3,15600,379,80,108
353,E2,15600,379,80,108
354,E5,15700,49,96,108
355,G#5,15800,49,96,108
356,B5,15900,49,96,108
357,A4,16000,149,96,108
358,C#6,16000,99,96,108
359,C#3,16000,399,80,108
360,A3,16000,399,80,108
361,A2,16000,399,80,108
362,B5,16200,49,96,108
363,C#4,16300,49,96,108
364,A5,16300,49,96,108
365,E4,16400,149,96,108
366,G#5,16400,99,96,108
367,E3,16400,399,80,108
368,B3,16400,399,80,108
369,G#2,16400,399,80,108
370,F#5,16600,49,96,108
371,G#4,16700,49,96,108
372,E5,16700,49,96,108
373,A4,16800,149,96,108
374,C#5,16800,99,96,108
375,F#3,16800,399,80,108
376,A3,16800,399,80,108
377,F#2,16800,399,80,108
378,F#5,17000,49,96,108
379,C#5,17100,49,96,108
380,A5,17100,24,96,108
381,G#5,17150,24,96,108
382,B-4,17200,199,96,108
383,F#5,17200,49,96,108
384,E3,17200,399,80,108
385,B-3,17200,399,80,108
386,F#2,17200,399,80,108
387,E5,17300,49,96,108
388,D5,17400,49,96,108
389,C#5,17500,49,96,108
390,B4,17600,149,96,108
391,D5,17600,99,96,108
392,D3,17600,399,80,108
393,B3,17600,399,80,108
394,B2,17600,399,80,108
395,C#5,17800,49,96,108
396,D4,17900,49,96,108
397,B4,17900,49,96,108
398,A4,18000,149,96,108
399,F#5,18000,99,96,108
400,E-3,18000,399,80,108
401,A3,18000,399,80,108
402,B2,18000,399,80,108
403,G5,18200,49,96,108
404,F#4,18300,49,96,108
405,A5,18300,49,96,108
406,E4,18400,99,96,108
407,G5,18400,99,96,108
408,E3,18400,399,80,108
409,G3,18400,399,80,108
410,E2,18400,399,80,108
411,G4,18600,49,96,108
412,E5,18600,49,96,108
413,A4,18700,49,96,108
414,D5,18700,24,96,108
415,C#5,18750,24,96,108
416,G#4,18800,284,96,108
417,B4,18800,284,96,108
418,D3,18800,395,80,108
419,G#3,18800,395,80,108
420,E2,18800,395,80,108
