,note_name,start_time,duration,velocity,tempo
0,D5,800,149,96,108
1,C5,950,47,96,108
2,B4,1000,99,96,108
3,A4,1100,94,96,108
4,F4,1100,94,96,108
5,D4,1100,94,96,108
6,D3,1100,94,96,108
7,C5,1200,189,96,108
8,G4,1200,189,96,108
9,C4,1200,189,96,108
10,E3,1200,189,96,108
11,C5,1400,99,96,108
12,B4,1500,94,96,108
13,G4,1500,94,96,108
14,C4,1500,94,96,108
15,E3,1500,94,96,108
16,A4,1600,149,96,108
17,F4,1600,189,96,108
18,C4,1600,189,96,108
19,F3,1600,189,96,108
20,G4,1750,47,96,108
21,F4,1800,99,96,108
22,D4,1800,99,96,108
23,B3,1800,99,96,108
24,G3,1800,99,96,108
25,E4,1900,94,96,108
26,C#4,1900,94,96,108
27,A3,1900,94,96,108
28,A3,1900,94,96,108
29,F4,2000,189,96,108
30,D4,2000,189,96,108
31,A3,2000,189,96,108
32,D3,2000,189,96,108
33,G4,2200,49,96,108
34,A4,2250,47,96,108
35,B4,2300,49,96,108
36,C#5,2350,47,96,108
37,D5,2400,149,96,108
38,C5,2550,47,96,108
39,B4,2600,99,96,108
40,A4,2700,94,96,108
41,F4,2700,94,96,108
42,D4,2700,94,96,108
43,D3,2700,94,96,108
44,C5,2800,189,96,108
45,G4,2800,189,96,108
46,C4,2800,189,96,108
47,E3,2800,189,96,108
48,C5,3000,99,96,108
49,B4,3100,94,96,108
50,G4,3100,94,96,108
51,C4,3100,94,96,108
52,E3,3100,94,96,108
53,A4,3200,149,96,108
54,F4,3200,189,96,108
55,C4,3200,189,96,108
56,F3,3200,189,96,108
57,G4,3350,47,96,108
58,F4,3400,99,96,108
59,D4,3400,99,96,108
60,B3,3400,99,96,108
61,G3,3400,99,96,108
62,E4,3500,94,96,108
63,C#4,3500,94,96,108
64,A3,3500,94,96,108
65,A3,3500,94,96,108
66,D4,3600,189,96,108
67,A3,3600,189,96,108
68,F3,3600,189,96,108
69,D3,3600,189,96,108
70,D2,3800,49,96,108
71,E2,3850,47,96,108
72,F2,3900,49,96,108
73,G2,3950,47,96,108
74,A2,4000,379,96,108
75,E5,4200,189,96,108
76,G4,4200,189,96,108
77,C4,4200,189,96,108
78,A3,4200,189,96,108
79,F5,4400,284,96,108
80,F4,4400,284,96,108
81,C4,4400,284,96,108
82,A3,4400,284,96,108
83,F2,4400,284,96,108
84,E5,4700,94,96,108
85,F4,4700,94,96,108
86,C4,4700,94,96,108
87,A3,4700,94,96,108
88,F2,4700,94,96,108
89,D5,4800,94,96,108
90,F4,4800,379,96,108
91,D4,4800,379,96,108
92,B-3,4800,379,96,108
93,B-2,4800,379,96,108
94,C5,4900,94,96,108
95,B-4,5000,94,96,108
96,A4,5100,94,96,108
97,B-4,5200,379,96,108
98,G4,5200,379,96,108
99,D4,5200,379,96,108
100,B-3,5200,379,96,108
101,G2,5200,379,96,108
102,A4,5600,189,96,108
103,E4,5600,189,96,108
104,C4,5600,189,96,108
105,E3,5600,189,96,108
106,A2,5600,379,96,108
107,E5,5800,189,96,108
108,G4,5800,189,96,108
109,C4,5800,189,96,108
110,A3,5800,189,96,108
111,F5,6000,284,96,108
112,F4,6000,284,96,108
113,C4,6000,284,96,108
114,A3,6000,284,96,108
115,F2,6000,284,96,108
116,E5,6300,94,96,108
117,F4,6300,94,96,108
118,C4,6300,94,96,108
119,A3,6300,94,96,108
120,F2,6300,94,96,108
121,D5,6400,94,96,108
122,F4,6400,379,96,108
123,D4,6400,379,96,108
124,B-3,6400,379,96,108
125,B-2,6400,379,96,108
126,C5,6500,94,96,108
127,B-4,6600,94,96,108
128,A4,6700,94,96,108
129,G4,6800,189,96,108
130,D4,6800,189,96,108
131,B-3,6800,189,96,108
132,G3,6800,379,96,108
133,G2,6800,189,96,108
134,C#5,7000,189,96,108
135,E4,7000,189,96,108
136,A3,7000,189,96,108
137,A2,7000,189,96,108
138,D5,7200,149,96,108
139,D4,7200,284,96,108
140,A3,7200,284,96,108
141,F3,7200,284,96,108
142,D2,7200,284,96,108
143,C5,7350,47,96,108
144,B4,7400,99,96,108
145,A4,7500,94,96,108
146,F4,7500,94,96,108
147,D4,7500,94,96,108
148,D3,7500,94,96,108
149,D2,7500,94,96,108
150,C5,7600,189,96,108
151,G4,7600,284,96,108
152,C4,7600,284,96,108
153,E3,7600,284,96,108
154,E2,7600,284,96,108
155,C5,7800,99,96,108
156,B4,7900,94,96,108
157,G4,7900,94,96,108
158,C4,7900,94,96,108
159,E3,7900,94,96,108
160,E2,7900,94,96,108
161,A4,8000,149,96,108
162,F4,8000,189,96,108
163,C4,8000,189,96,108
164,F3,8000,189,96,108
165,F2,8000,189,96,108
166,G4,8150,47,96,108
167,F4,8200,99,96,108
168,D4,8200,99,96,108
169,B3,8200,99,96,108
170,G3,8200,99,96,108
171,G2,8200,99,96,108
172,E4,8300,94,96,108
173,C#4,8300,94,96,108
174,A3,8300,94,96,108
175,A3,8300,94,96,108
176,A2,8300,94,96,108
177,F4,8400,189,96,108
178,D4,8400,189,96,108
179,A3,8400,379,96,108
180,D3,8400,379,96,108
181,D2,8400,379,96,108
182,G4,8600,49,96,108
183,B3,8600,49,96,108
184,A4,8650,47,96,108
185,C#4,8650,47,96,108
186,B4,8700,49,96,108
187,D4,8700,49,96,108
188,C#5,8750,47,96,108
189,E4,8750,47,96,108
190,D5,8800,149,96,108
191,F4,8800,149,96,108
192,C5,8950,47,96,108
193,E4,8950,47,96,108
194,B4,9000,99,96,108
195,D4,9000,99,96,108
196,A4,9100,94,96,108
197,F4,9100,94,96,108
198,D4,9100,94,96,108
199,D3,9100,94,96,108
200,D2,9100,94,96,108
