,note_name,start_time,duration,velocity,tempo
0,B1,0,47,96,80
1,F#4,0,400,80,80
2,B3,0,400,80,80
3,D5,0,400,80,80
4,A4,0,400,80,80
5,C#2,50,47,96,80
6,D2,100,47,96,80
7,C#2,150,47,96,80
8,D2,200,47,96,80
9,F#2,250,47,96,80
10,F2,300,47,96,80
11,F#2,350,47,96,80
12,A2,400,47,96,80
13,F#4,400,359,80,80
14,B3,400,359,80,80
15,D5,400,359,80,80
16,A4,400,359,80,80
17,F#2,450,47,96,80
18,F2,500,47,96,80
19,D2,550,47,96,80
20,C#2,600,47,96,80
21,D2,650,47,96,80
22,C#2,700,47,96,80
23,B1,750,47,96,80
24,E1,800,47,96,80
25,E4,800,400,80,80
26,B3,800,400,80,80
27,D5,800,400,80,80
28,G4,800,400,80,80
29,F#1,850,47,96,80
30,G1,900,47,96,80
31,F#1,950,47,96,80
32,G1,1000,47,96,80
33,B1,1050,47,96,80
34,B-1,1100,47,96,80
35,B1,1150,47,96,80
36,D2,1200,47,96,80
37,E4,1200,359,80,80
38,B3,1200,359,80,80
39,D5,1200,359,80,80
40,G4,1200,359,80,80
41,B1,1250,47,96,80
42,B-1,1300,47,96,80
43,G1,1350,47,96,80
44,F#1,1400,47,96,80
45,G1,1450,47,96,80
46,F#1,1500,47,96,80
47,E1,1550,47,96,80
48,B1,1600,47,96,80
49,F#4,1600,400,80,80
50,B3,1600,400,80,80
51,D5,1600,400,80,80
52,A4,1600,400,80,80
53,C#2,1650,47,96,80
54,D2,1700,47,96,80
55,C#2,1750,47,96,80
56,D2,1800,47,96,80
57,F#2,1850,47,96,80
58,F2,1900,47,96,80
59,F#2,1950,47,96,80
60,A2,2000,47,96,80
61,F#4,2000,359,80,80
62,B3,2000,359,80,80
63,D5,2000,359,80,80
64,A4,2000,359,80,80
65,F#2,2050,47,96,80
66,F2,2100,47,96,80
67,D2,2150,47,96,80
68,C#2,2200,47,96,80
69,D2,2250,47,96,80
70,C#2,2300,47,96,80
71,B1,2350,47,96,80
72,B2,2400,47,96,80
73,B4,2400,400,80,80
74,F#4,2400,400,80,80
75,A5,2400,400,80,80
76,D5,2400,400,80,80
77,C#3,2450,47,96,80
78,D3,2500,47,96,80
79,C#3,2550,47,96,80
80,D3,2600,47,96,80
81,F#3,2650,47,96,80
82,F3,2700,47,96,80
83,F#3,2750,47,96,80
84,A3,2800,47,96,80
85,B4,2800,359,80,80
86,F#4,2800,359,80,80
87,A5,2800,359,80,80
88,D5,2800,359,80,80
89,F#3,2850,47,96,80
90,F3,2900,47,96,80
91,D3,2950,47,96,80
92,C#3,3000,47,96,80
93,D3,3050,47,96,80
94,C#3,3100,47,96,80
95,B2,3150,47,96,80
