,note_name,start_time,duration,velocity,tempo
0,E-2,0,47,80,144
1,F#5,0,299,80,144
2,E-2,50,47,80,144
3,E-3,100,47,80,144
4,B-2,100,47,80,144
5,E-2,150,47,80,144
6,E-2,200,47,80,144
7,E-3,250,47,80,144
8,B-2,250,47,80,144
9,E3,300,47,80,144
10,A2,300,47,80,144
11,G5,300,99,80,144
12,E-2,350,47,80,144
13,E-2,400,47,80,144
14,F#5,400,299,80,144
15,E-2,450,47,80,144
16,E-3,500,47,80,144
17,B-2,500,47,80,144
18,E-2,550,47,80,144
19,E-2,600,47,80,144
20,E-3,650,47,80,144
21,B-2,650,47,80,144
22,E3,700,47,80,144
23,A2,700,47,80,144
24,G5,700,99,80,144
25,E-2,750,47,80,144
26,E-2,800,47,80,144
27,F#5,800,299,80,144
28,E-2,850,47,80,144
29,E-3,900,47,80,144
30,B-2,900,47,80,144
31,E-2,950,47,80,144
32,E-2,1000,47,80,144
33,E-3,1050,47,80,144
34,B-2,1050,47,80,144
35,E3,1100,47,80,144
36,A2,1100,47,80,144
37,G5,1100,99,80,144
38,E-2,1150,47,80,144
39,E-2,1200,47,80,144
40,F#5,1200,379,80,144
41,E-2,1250,47,80,144
42,E-3,1300,47,80,144
43,B-2,1300,47,80,144
44,E-2,1350,47,80,144
45,E-2,1400,47,80,144
46,E-3,1450,47,80,144
47,B-2,1450,47,80,144
48,E3,1500,94,80,144
49,A2,1500,23,80,144
50,E2,1525,23,80,144
51,C2,1550,23,80,144
52,A1,1575,23,80,144
53,G#1,1600,47,80,144
54,B5,1600,299,80,144
55,G#1,1650,47,80,144
56,G#2,1700,47,80,144
57,E-2,1700,47,80,144
58,G#1,1750,47,80,144
59,G#1,1800,47,80,144
60,G#2,1850,47,80,144
61,E-2,1850,47,80,144
62,A2,1900,47,80,144
63,D2,1900,47,80,144
64,C6,1900,99,80,144
65,G#1,1950,47,80,144
66,G#1,2000,47,80,144
67,B5,2000,299,80,144
68,G#1,2050,47,80,144
69,G#2,2100,47,80,144
70,E-2,2100,47,80,144
71,G#1,2150,47,80,144
72,G#1,2200,47,80,144
73,G#2,2250,47,80,144
74,E-2,2250,47,80,144
75,A2,2300,47,80,144
76,D2,2300,47,80,144
77,C6,2300,99,80,144
78,G#1,2350,47,80,144
79,G#1,2400,47,80,144
80,B5,2400,299,80,144
81,G#1,2450,47,80,144
82,G#2,2500,47,80,144
83,E-2,2500,47,80,144
84,G#1,2550,47,80,144
85,G#1,2600,47,80,144
86,G#2,2650,47,80,144
87,E-2,2650,47,80,144
88,A2,2700,47,80,144
89,D2,2700,47,80,144
90,C6,2700,99,80,144
91,G#1,2750,47,80,144
92,G#1,2800,47,80,144
93,B5,2800,379,80,144
94,G#1,2850,47,80,144
95,G#2,2900,47,80,144
96,E-2,2900,47,80,144
97,G#1,2950,47,80,144
98,G#1,3000,47,80,144
99,G#2,3050,47,80,144
100,E-2,3050,47,80,144
101,A2,3100,94,80,144
102,D2,3100,23,80,144
103,F2,3125,23,80,144
104,E-2,3150,23,80,144
105,D2,3175,23,80,144
106,E-2,3200,47,80,144
107,F#5,3200,299,80,144
108,E-2,3250,47,80,144
109,E-3,3300,47,80,144
110,B-2,3300,47,80,144
111,E-2,3350,47,80,144
112,E-2,3400,47,80,144
113,E-3,3450,47,80,144
114,B-2,3450,47,80,144
115,E3,3500,47,80,144
116,A2,3500,47,80,144
117,G5,3500,99,80,144
118,E-2,3550,47,80,144
119,E-2,3600,47,80,144
120,F#5,3600,299,80,144
121,E-2,3650,47,80,144
122,E-3,3700,47,80,144
123,B-2,3700,47,80,144
124,E-2,3750,47,80,144
125,E-2,3800,47,80,144
126,E-3,3850,47,80,144
127,B-2,3850,47,80,144
128,E3,3900,47,80,144
129,A2,3900,47,80,144
130,G5,3900,99,80,144
131,E-2,3950,47,80,144
132,E-2,4000,47,80,144
133,F#5,4000,299,80,144
134,E-2,4050,47,80,144
135,E-3,4100,47,80,144
136,B-2,4100,47,80,144
137,E-2,4150,47,80,144
138,E-2,4200,47,80,144
139,E-3,4250,47,80,144
140,B-2,4250,47,80,144
141,E3,4300,47,80,144
142,A2,4300,47,80,144
143,G5,4300,99,80,144
144,E-2,4350,47,80,144
145,E-2,4400,47,80,144
146,F#5,4400,379,80,144
147,E-2,4450,47,80,144
148,E-3,4500,47,80,144
149,B-2,4500,47,80,144
150,E-2,4550,47,80,144
151,E-2,4600,47,80,144
152,E-3,4650,47,80,144
153,B-2,4650,47,80,144
154,E3,4700,94,80,144
155,A2,4700,23,80,144
156,E2,4725,23,80,144
157,C2,4750,23,80,144
158,B1,4775,23,80,144
159,B-1,4800,47,80,144
160,C#5,4800,299,80,144
161,B-1,4850,47,80,144
162,B-2,4900,47,80,144
163,F2,4900,47,80,144
164,B-1,4950,47,80,144
165,B-1,5000,47,80,144
166,B-2,5050,47,80,144
167,F2,5050,47,80,144
168,B2,5100,47,80,144
169,E2,5100,47,80,144
170,D5,5100,99,80,144
171,B-1,5150,47,80,144
172,B-1,5200,47,80,144
173,C#5,5200,299,80,144
174,B-1,5250,47,80,144
175,B-2,5300,47,80,144
176,F2,5300,47,80,144
177,B-1,5350,47,80,144
178,B-1,5400,47,80,144
179,B-2,5450,47,80,144
180,F2,5450,47,80,144
181,B2,5500,47,80,144
182,E2,5500,47,80,144
183,D5,5500,99,80,144
184,B-1,5550,47,80,144
185,B-1,5600,47,80,144
186,C#5,5600,299,80,144
187,B-1,5650,47,80,144
188,B-2,5700,47,80,144
189,F2,5700,47,80,144
190,B-1,5750,47,80,144
191,B-1,5800,47,80,144
192,B-2,5850,47,80,144
193,F2,5850,47,80,144
194,B2,5900,47,80,144
195,E2,5900,47,80,144
196,D5,5900,94,80,144
197,B-1,5950,47,80,144
198,B-1,6000,47,80,144
199,C#5,6000,99,80,144
200,B-1,6050,47,80,144
201,B-2,6100,47,80,144
202,F2,6100,47,80,144
203,E-5,6100,99,80,144
204,B-1,6150,47,80,144
205,B-1,6200,47,80,144
206,F5,6200,99,80,144
207,B-2,6250,47,80,144
208,F2,6250,47,80,144
209,B2,6300,94,80,144
210,E2,6300,23,80,144
211,G5,6300,94,80,144
212,G2,6325,23,80,144
213,F#2,6350,23,80,144
214,F2,6375,23,80,144
215,E2,6400,47,80,144
216,G5,6400,399,80,144
217,B2,6450,47,80,144
218,E2,6450,47,80,144
219,C3,6500,47,80,144
220,E2,6500,47,80,144
221,E2,6550,47,80,144
222,D3,6600,47,80,144
223,E2,6600,47,80,144
224,C3,6650,47,80,144
225,E2,6650,47,80,144
226,E2,6700,47,80,144
227,B2,6750,47,80,144
228,E2,6750,47,80,144
229,D2,6800,47,80,144
230,F5,6800,399,80,144
231,A2,6850,47,80,144
232,D2,6850,47,80,144
233,B-2,6900,47,80,144
234,D2,6900,47,80,144
235,D2,6950,47,80,144
236,C3,7000,47,80,144
237,D2,7000,47,80,144
238,B-2,7050,47,80,144
239,D2,7050,47,80,144
240,D2,7100,47,80,144
241,A2,7150,47,80,144
242,D2,7150,47,80,144
243,C2,7200,47,80,144
244,E-5,7200,399,80,144
245,G2,7250,47,80,144
246,C2,7250,47,80,144
247,G#2,7300,47,80,144
248,C2,7300,47,80,144
249,C2,7350,47,80,144
250,B-2,7400,47,80,144
251,C2,7400,47,80,144
252,G#2,7450,47,80,144
253,C2,7450,47,80,144
254,C2,7500,47,80,144
255,G2,7550,47,80,144
256,C2,7550,47,80,144
257,B-1,7600,47,80,144
258,C#5,7600,199,80,144
259,F2,7650,47,80,144
260,B-1,7650,47,80,144
261,F#2,7700,47,80,144
262,B-1,7700,47,80,144
263,B-1,7750,47,80,144
264,G#2,7800,47,80,144
265,B-1,7800,47,80,144
266,E-5,7800,99,80,144
267,B-2,7850,47,80,144
268,B-1,7850,47,80,144
269,B-1,7900,47,80,144
270,F5,7900,94,80,144
271,F2,7950,47,80,144
272,B-1,7950,47,80,144
273,E2,8000,47,80,144
274,G5,8000,399,80,144
275,B2,8050,47,80,144
276,E2,8050,47,80,144
277,B3,8050,47,80,144
278,C3,8100,47,80,144
279,E2,8100,47,80,144
280,C4,8100,47,80,144
281,E2,8150,47,80,144
282,D3,8200,47,80,144
283,E2,8200,47,80,144
284,D4,8200,47,80,144
285,C3,8250,47,80,144
286,E2,8250,47,80,144
287,C4,8250,47,80,144
288,E2,8300,47,80,144
289,B2,8350,47,80,144
290,E2,8350,47,80,144
291,B3,8350,47,80,144
292,D2,8400,47,80,144
293,F5,8400,399,80,144
294,A2,8450,47,80,144
295,D2,8450,47,80,144
296,A3,8450,47,80,144
297,B-2,8500,47,80,144
298,D2,8500,47,80,144
299,B-3,8500,47,80,144
300,D2,8550,47,80,144
301,C3,8600,47,80,144
302,D2,8600,47,80,144
303,C4,8600,47,80,144
304,B-2,8650,47,80,144
305,D2,8650,47,80,144
306,B-3,8650,47,80,144
307,D2,8700,47,80,144
308,A2,8750,47,80,144
309,D2,8750,47,80,144
310,A3,8750,47,80,144
311,C2,8800,47,80,144
312,E-5,8800,399,80,144
313,G2,8850,47,80,144
314,C2,8850,47,80,144
315,G3,8850,47,80,144
316,G#2,8900,47,80,144
317,C2,8900,47,80,144
318,G#3,8900,47,80,144
319,C2,8950,47,80,144
320,B-2,9000,47,80,144
321,C2,9000,47,80,144
322,B-3,9000,47,80,144
323,G#2,9050,47,80,144
324,C2,9050,47,80,144
325,G#3,9050,47,80,144
326,C2,9100,47,80,144
327,G2,9150,47,80,144
328,C2,9150,47,80,144
329,G3,9150,47,80,144
330,B-1,9200,47,80,144
331,C#5,9200,379,80,144
332,F2,9250,47,80,144
333,B-1,9250,47,80,144
334,F3,9250,47,80,144
335,F#2,9300,47,80,144
336,B-1,9300,47,80,144
337,F#3,9300,47,80,144
338,B-1,9350,47,80,144
339,G#2,9400,47,80,144
340,B-1,9400,47,80,144
341,G#3,9400,47,80,144
342,B-2,9450,47,80,144
343,B-1,9450,47,80,144
344,B-3,9450,47,80,144
345,B-1,9500,47,80,144
346,F2,9550,47,80,144
347,B-1,9550,47,80,144
348,F4,9550,49,80,144
349,F3,9550,47,80,144
350,E2,9600,47,80,144
351,G5,9600,399,80,144
352,G4,9600,284,80,144
353,B2,9650,47,80,144
354,E2,9650,47,80,144
355,B3,9650,47,80,144
356,C3,9700,47,80,144
357,E2,9700,47,80,144
358,C4,9700,47,80,144
359,E2,9750,47,80,144
360,D3,9800,47,80,144
361,E2,9800,47,80,144
362,D4,9800,47,80,144
363,C3,9850,47,80,144
364,E2,9850,47,80,144
365,C4,9850,47,80,144
366,E2,9900,47,80,144
367,B2,9950,47,80,144
368,E2,9950,47,80,144
369,G4,9950,49,80,144
370,B3,9950,47,80,144
371,D2,10000,47,80,144
372,F5,10000,399,80,144
373,A4,10000,284,80,144
374,A2,10050,47,80,144
375,D2,10050,47,80,144
376,A3,10050,47,80,144
377,B-2,10100,47,80,144
378,D2,10100,47,80,144
379,B-3,10100,47,80,144
380,D2,10150,47,80,144
381,C3,10200,47,80,144
382,D2,10200,47,80,144
383,C4,10200,47,80,144
384,B-2,10250,47,80,144
385,D2,10250,47,80,144
386,B-3,10250,47,80,144
387,D2,10300,47,80,144
388,A2,10350,47,80,144
389,D2,10350,47,80,144
390,A4,10350,24,80,144
391,A3,10350,47,80,144
392,B-4,10375,24,80,144
393,C2,10400,47,80,144
394,E-5,10400,399,80,144
395,C5,10400,284,80,144
396,G2,10450,47,80,144
